breeder,enrichment,x_cm,y_cm,z_cm,flux,flux_std_dev
pbli,90,-23.0,-25.0,-14.5,0.0007480042779807714,4.2742577175380266e-06
pbli,90,-21.0,-25.0,-14.5,0.00075915095890001,4.606984524715663e-06
pbli,90,-19.0,-25.0,-14.5,0.0007639189077033265,4.293149808986691e-06
pbli,90,-17.0,-25.0,-14.5,0.0007939551223495793,4.662503088047938e-06
pbli,90,-15.0,-25.0,-14.5,0.0007907318126399433,5.236594908742874e-06
pbli,90,-13.0,-25.0,-14.5,0.0008007088755713819,4.927766141156e-06
pbli,90,-11.0,-25.0,-14.5,0.0007935568162244256,4.348152367866404e-06
pbli,90,-9.0,-25.0,-14.5,0.0008058266233698032,5.41704061944592e-06
pbli,90,-7.0,-25.0,-14.5,0.0008040644122223674,5.376860153913129e-06
pbli,90,-5.0,-25.0,-14.5,0.0008089955649481307,5.342471969541563e-06
pbli,90,-3.0,-25.0,-14.5,0.0008139104503304828,5.4514964028511645e-06
pbli,90,-1.0,-25.0,-14.5,0.0008215791340294126,4.1715773099012996e-06
pbli,90,1.0,-25.0,-14.5,0.0008119005068417118,5.439120733672521e-06
pbli,90,3.0,-25.0,-14.5,0.0008096571432252775,4.571941041662004e-06
pbli,90,5.0,-25.0,-14.5,0.0008083586992386838,4.653070608665195e-06
pbli,90,7.0,-25.0,-14.5,0.0008121161085012387,4.768609518644137e-06
pbli,90,9.0,-25.0,-14.5,0.0008079075074894851,5.048903817285199e-06
pbli,90,11.0,-25.0,-14.5,0.0008076264623027104,4.716225063271574e-06
pbli,90,13.0,-25.0,-14.5,0.0007986779845224185,4.0804300007464464e-06
pbli,90,15.0,-25.0,-14.5,0.0007830681546783031,5.3934723728155016e-06
pbli,90,17.0,-25.0,-14.5,0.0007830455661459061,4.874900179349064e-06
pbli,90,19.0,-25.0,-14.5,0.0007671973248936577,4.2980438693088875e-06
pbli,90,21.0,-25.0,-14.5,0.0007593784842101844,4.720684954811801e-06
pbli,90,23.0,-25.0,-14.5,0.0007452260795029509,4.838063788279144e-06
pbli,90,25.0,-25.0,-14.5,0.000733786359021896,4.531592630541127e-06
pbli,90,27.0,-25.0,-14.5,0.0007213175678519443,4.057842765954337e-06
pbli,90,29.0,-25.0,-14.5,0.000692927707712363,4.49378783929458e-06
pbli,90,31.0,-25.0,-14.5,0.0006632418580209596,4.10034967742479e-06
pbli,90,33.0,-25.0,-14.5,0.0006295696783147096,4.315421894728442e-06
